title,link,create_time,title_en
基于北斗通信的高精密阀门远程控制器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497494&idx=2&sn=1ce1e4b56e1e70d6e08b1ab6eaf56fe7&chksm=cfb79053f8c01945825595cd37ea89c30a59a79d4a4f977ac95925caa3c90ebb7695de89b88d#rd,2025/4/15 16:25,High-precision valve remote controller based on Beidou communication
“一触迹发”,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497483&idx=2&sn=01300de233ddb1ed64af66dc20259f75&chksm=cfb7904ef8c0195838d8ed93e8b9422eb105f6ad7ce2ee0d062f90d4a8a01219c4421760686e#rd,2025/4/14 15:32,"""At the touch of a button"""
卫星集群仿真应用开发平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497480&idx=1&sn=18f44fe4ead9101d7688d06056173e96&chksm=cfb7904df8c0195bd50e6ebf02f4b1241215761afcd827125dc7ae42cd90bb37d1b6db3f6e86#rd,2025/4/11 15:29,Satellite cluster simulation application development platform
多波束 / 涡旋波束天线技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497468&idx=2&sn=cd51e536d5167d2d034ab359546646c5&chksm=cfb791b9f8c018af276e969e32779d1d1068e12322eb7fdf8b9d3995c9d53a674e6348d2f431#rd,2025/4/10 15:51,Multi-beam/Vortex Beam Antenna Technology
跨域人脸图像重建,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497456&idx=2&sn=3b0688bc2a14d194915dd54842cd662c&chksm=cfb791b5f8c018a31f83c9f541c240b2706f8214c0a65abc325e50f4c60cdd3fa5e0a8c60c56#rd,2025/4/9 17:21,Cross-domain face image reconstruction
智能灯光照明导引系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497429&idx=2&sn=45beb62a367f2717a2a13a974c33a8fc&chksm=cfb79190f8c01886a87dc673d730ef1feb9f9f6ce39eb7d1ae0b2c4a469908a429229da6227a#rd,2025/4/7 18:44,Intelligent lighting guidance system
时间敏感网络原型与验证系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497332&idx=1&sn=5b76b0664a7a80df5256fedc82b57aa1&chksm=cfb79131f8c0182778d035c939c4a8c21bc904a11179e1bfff53afa884dfcf7997673c726f6d#rd,2025/4/2 15:34,Time-sensitive network prototyping and verification system
全场景物联和无源物联网技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497326&idx=1&sn=08408d786b0b1ead0c548ef277691e18&chksm=cfb7912bf8c0183daf5cad877265075150264da5760c9504cbcbfa6d5331a9bfc71fbe3a5a5c#rd,2025/4/1 16:41,Full-scenario IoT and passive IoT technology
面向 VR/AR 的高性能全彩 micro-LED 近眼显示,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497311&idx=1&sn=85b4277801eef7e914f8a988b4a47335&chksm=cfb7911af8c0180cb8c377b5ade53e4346b8451e89d444fa1e7d939620280ad2d2e2a283d64c#rd,2025/3/28 14:12,High-performance full-color micro-LED near-eye display for VR/AR
SiC 新型功率 MOS 器件结构以及栅驱动电路的设计与研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497307&idx=1&sn=e9a71d62c69a6bf060a63ff8e459fc9d&chksm=cfb7911ef8c01808eb8ea23a9f3ccb204cdeaad75c688b0fe05aaa19e5bcb74865591324d0c4#rd,2025/3/27 16:18,Design and research of new SiC power MOS device structure and gate drive circuit
跨媒体医学影像智能解译系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497273&idx=1&sn=091d363dc22c996baf9cb1c46840869d&chksm=cfb7917cf8c0186a1351814dd3d628dc534e7ef9073074639adb8293aa9ac683eded3e2b2e94#rd,2025/3/21 16:34,Cross-media medical image intelligent interpretation system
ZL-MOVE 卷积神经网络处理器及其开发系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497259&idx=1&sn=41cd51b3fc6e42355307f1900d67279a&chksm=cfb7916ef8c01878be927b4eb6afde594e1defea27f34b7365881556ac22baa092de1088b477#rd,2025/3/20 16:40,ZL-MOVE convolutional neural network processor and its development system
生物特征数据安全处理系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497254&idx=2&sn=44b437b91d6387b8254cb4bf739ebaa6&chksm=cfb79163f8c018752e9eb6a5bdc1569ee0d4a4b8d981f57207b8eb72b220f0f3867b8e973412#rd,2025/3/19 16:30,Biometric data security processing system
廉价航班化航天运输推进系统产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497243&idx=1&sn=fd47482d17343026f1b487cabbcc254e&chksm=cfb7915ef8c01848e06fa1335b602c4a34fd03e0e2d1d882f85c42ddc65f2fd567f853aba6a9#rd,2025/3/18 15:21,Low-cost flight-based space transportation promotes the industrialization of systems
“极目”无人机多源影像情报处理软件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497239&idx=1&sn=f0b773c165f37b47d3c472a0dd5a837f&chksm=cfb79152f8c0184411d50e3b7281fd1faffe526a5fb06d737518da4539d49834efa903f54f93#rd,2025/3/17 16:45,"""JiMu"" UAV multi-source image intelligence processing software"
朗空人工智能机器眼,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497237&idx=1&sn=b762a8fccf528f6029bb3f808439bb9b&chksm=cfb79150f8c01846e2f803a26e918102e49162dfeb1b12e484d7af39e9b7b6c2a29aa1910845#rd,2025/3/14 16:37,Langkong artificial intelligence machine eye
新型气体传感器技术及装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497233&idx=1&sn=35d5118f33d25beead470be06fc2e646&chksm=cfb79154f8c018424f23bbd74964e16e80f51ffa54980d0aadd70300564b40d698caa9be26da#rd,2025/3/13 15:39,New gas sensor technology and devices
无线电能传输,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497216&idx=1&sn=9592e97c233e0d4d2afb63b00931f8a2&chksm=cfb79145f8c01853c151fe48ec322711381bb0d7d87025079ff140fe0c607e42f02093ff9408#rd,2025/3/11 15:20,wireless power transfer
4D成像毫米波交通路况监测雷达系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497212&idx=1&sn=66433f717da682aca2eb9bfc27791c9a&chksm=cfb792b9f8c01bafc9528c10a8c6ed034f9260d5f394668046c30552a6c424f696e4fa1ceea5#rd,2025/3/10 16:25,4D imaging millimeter wave traffic monitoring radar system
用于无损机械力检测的发光薄膜,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497208&idx=1&sn=92f8937c43017067701f534b7b3e827c&chksm=cfb792bdf8c01babbd83bc1b9efeb052493c5a6ad3bb3a4a74ae9efd65767890fbbd4f1de701#rd,2025/3/7 16:46,Luminescent films for non-destructive mechanical force testing
融合SERS技术与人工智能的疾病诊断分析系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497204&idx=1&sn=66b249df07e2480ac955f285560c7096&chksm=cfb792b1f8c01ba704830cc581fc2a63668bb0eaaff4e669b77d35a4d4d9f3dc5adb46c0b495#rd,2025/3/6 17:35,Disease diagnosis and analysis system integrating SERS technology and artificial intelligence
基于眼底彩照的智能分级系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497153&idx=1&sn=bb992d38f024cd8dec94e809872a51da&chksm=cfb79284f8c01b9224903c14e8c0545e9730495b4b4979076166a43c727dcede6638f2ff6cb0#rd,2025/2/27 16:07,Intelligent grading system based on fundus color photos
肺癌亚型分类及可解释系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497149&idx=1&sn=265dd6f009723ae8c4dc58cd712b54cf&chksm=cfb792f8f8c01beeadf3f387e38ff4219cdcd2eab762245b0b189b59b264af8b5f754bdd7edd#rd,2025/2/26 15:55,Lung cancer subtype classification and interpretable system
单像素荧光检测仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497137&idx=1&sn=70b6127d109621bbc7ae83bd8dce63a9&chksm=cfb792f4f8c01be2bf28aaaa2a070b1415bdae7e1fb6fa1913ebb19d0a585fe85b3a035b2a56#rd,2025/2/24 14:54,Single pixel fluorescence detector
CAR巨噬创新型肿瘤细胞免疫治疗项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497132&idx=1&sn=8c49d7b33615e2f80db749dddb8e0038&chksm=cfb792e9f8c01bff4100ad66314745ea89b251cdfde45bd4c51314b39b3c2c271f53f4423e40#rd,2025/2/21 15:50,CAR macrophage innovative tumor cell immunotherapy project
创新型CAR-巨噬肿瘤细胞免疫治疗,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497130&idx=1&sn=d24dbd14f244a5ec1eca1c92390d34ae&chksm=cfb792eff8c01bf9c96f931abfa763f8613f19bec7d9d53473aa78516756e5e3f4b61aafc63e#rd,2025/2/20 15:46,Innovative CAR-macrophage tumor cell immunotherapy
糖尿病视网膜病变的早期筛查系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497128&idx=1&sn=2d4b5858d38e79fa0f6f208c461df818&chksm=cfb792edf8c01bfb44348326b25422622b56d626012de749e2d7aa97c69b157a152c6fe35cdd#rd,2025/2/19 14:35,Early screening system for diabetic retinopathy
便携式智能化高通量细胞分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497126&idx=2&sn=5bd736ccc396d3b2464df0d0e4950ee9&chksm=cfb792e3f8c01bf5162f48db55625c338d7dd56aca84601e519a3d4e1921851b8b7e1564f082#rd,2025/2/18 16:14,Portable intelligent high-throughput cell analyzer
可穿戴式多模态闭环神经调控设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497100&idx=1&sn=8f1cc07cc46cee1345ca0a87a8de85f7&chksm=cfb792c9f8c01bdf019a4203ff72fa32ad7782d99f78fae081276e626bebf3429cf326c689a9#rd,2025/2/13 14:54,Wearable multimodal closed-loop neuromodulation device
面向5G通信基站用氮化镓基射频器件项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497096&idx=1&sn=c6a47b6ddf11a29ab36f5c292cdad98c&chksm=cfb792cdf8c01bdb6f5bb900738ecfab27322db640cb1410441d032de1c3371eb0256a1e46f6#rd,2025/2/12 16:17,Gallium nitride-based radio frequency device project for 5G communication base stations
中高压SiC大功率器件研制及产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497092&idx=1&sn=a4542e79fa9870f838be260c22833427&chksm=cfb792c1f8c01bd7506bea7386ba34701e0b4717eef4263cb32e539ba8ca20bca8cc4717b587#rd,2025/2/11 16:42,Development and industrialization of medium and high voltage SiC high power devices
面向新型能源利用的高效稳定钙钛矿光伏和探测器件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497087&idx=1&sn=d0e6ba8f3728a85eff70b7cec9d1b702&chksm=cfb7923af8c01b2c24bfed27bd47e5ca6d34a1bea14faba5d8e1eef4bb37c9904e2eb86492df#rd,2025/2/10 15:40,Efficient and stable perovskite photovoltaic and detection devices for new energy utilization
硅基氮化镓射频功率器件及关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497030&idx=1&sn=71f5790651d1035f4afd6a618a0581bf&chksm=cfb79203f8c01b15a6b78f9dfa0e29a8bd3e6a7fd2feba8a26e857e353d292c7e991dc747ace#rd,2025/1/24 15:33,GaN-on-silicon RF power devices and key technologies
单光子固态激光雷达芯片与系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497026&idx=1&sn=4dc4435df379715dcfb884acbb432e0a&chksm=cfb79207f8c01b119a23721e547f07a0c6b4a516fddd08da0a9568366baaa857ed32324606e5#rd,2025/1/23 16:37,Single-photon solid-state lidar chips and systems
大尺寸GaN异质外延技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497024&idx=2&sn=47444331f7e5678922dc8e39d51ce204&chksm=cfb79205f8c01b1312f096d6397290fc0bfaa00545048edd1a8f8aba90419471e816d02bac45#rd,2025/1/22 15:57,Large-size GaN heteroepitaxial technology
大型装备健康运行监测与数据分析平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497016&idx=2&sn=6f7dd3a7b78b67e537a009d3d2ff6498&chksm=cfb7927df8c01b6b5a3826bf5e26a62cb4cab30829c73131e3d22e028a3064723b4f9644d44e#rd,2025/1/21 15:54,Large equipment health operation monitoring and data analysis platform
基于大数据云计算的公路建管系统项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247497009&idx=1&sn=a8f81caf334ee2b2382b166b074cbea7&chksm=cfb79274f8c01b6237d19c894f81903fb58c9c0839554ec36ae6dc16ad6d669b8cf65d4fc5da#rd,2025/1/20 17:56,Highway construction and management system project based on big data cloud computing
基于语义智能的网络信息内容生态治理,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496992&idx=1&sn=ec02880646eb1c7d50590081083f2e78&chksm=cfb79265f8c01b73e8e786b016ab37231d5009029bb24c4231276e54d338245c0a44e1277b9d#rd,2025/1/16 16:50,Ecological governance of network information content based on semantic intelligence
基于细粒度组织的科技创新知识洞察平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496948&idx=1&sn=292f3d007e10a1f9291a88ec43354322&chksm=cfb793b1f8c01aa7b2748689ade48dadbc03a44832e72d96ce8501b80c8dde015646bfdb7776#rd,2025/1/13 16:43,Scientific and technological innovation knowledge insight platform based on fine-grained organization
小型化数字全息显微仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496946&idx=1&sn=87fd05ceb87e2d0b6ae25538da5b0355&chksm=cfb793b7f8c01aa186012318edd62a911db9fe84c9f9eadb16c37eef5b91e8f667198c732f1e#rd,2025/1/10 13:16,Miniature digital holographic microscope
微型纳秒激光器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496944&idx=1&sn=2830ac5043e8ec70af00b1688b2617ed&chksm=cfb793b5f8c01aa3dc1415605a40f0998770379314c0d6740c88ecc67c48f1834ba817274c46#rd,2025/1/9 15:55,Micro nanosecond laser
激光光谱智能分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496942&idx=1&sn=64259d31f9409dee0b603423c6efca5e&chksm=cfb793abf8c01abdea4d004852e0c905830d6fe7d7f243f59727b48d7d817c58e45f27bb38c0#rd,2025/1/8 16:51,Laser Spectrum Intelligent Analyzer
高精度防爆式气体光电检测设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496940&idx=2&sn=88eeeee5da97ef2885a0356ce1f2903f&chksm=cfb793a9f8c01abf7cf7da1898d3a952e8cc719915dfeebfbcbbd3d94ff692efe72a65e5c005#rd,2025/1/7 15:37,High-precision explosion-proof gas photoelectric detection equipment
皮带走廊无人值守系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496876&idx=1&sn=28bcb70aaaa3f497d7c254a977942ad7&chksm=cfb793e9f8c01aff14118e39a2d7ea0e0c616db63fad0c75c40eaf6603e988cc6ee5a33eea0a#rd,2024/12/31 15:02,Belt corridor unattended system
传输机皮带光电一体智能无人值守检测装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496874&idx=1&sn=7f1f1eb0fcd5f7d65617f502e1f4e84e&chksm=cfb793eff8c01af9b9a70c652f00c4ef449474503d5ef97bf3cb865d9fea276d6e132ac471ea#rd,2024/12/30 17:00,Conveyor belt photoelectric integrated intelligent unattended detection device
高功率全固态飞秒激光器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496872&idx=1&sn=775367891d8a267d5f937f39f9fd3612&chksm=cfb793edf8c01afbc5c8d81fbd800f72c300c9cbdf169a5fd4c7bbbe131258414fcc416b9891#rd,2024/12/27 17:15,High-power all-solid-state femtosecond laser
载重10公斤跨介质无人机,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496870&idx=1&sn=f565d383089f10a701302164e67986df&chksm=cfb793e3f8c01af5c54427597cb0023be68bbaf3fd4573e2d28dd64b0f2ccb40b5a069013e73#rd,2024/12/26 14:30,Cross-media drone with a load capacity of 10 kg
用于智能装配与健康监测的多功能柔性传感技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496852&idx=1&sn=3e32555f67e41f2e569a41ec91582b9c&chksm=cfb793d1f8c01ac79623620e17144d24a16788077855e0d9d848a4450b80dd14551bb4eca1d1#rd,2024/12/24 15:17,Multifunctional flexible sensing technology for smart assembly and health monitoring
外夹式超声波流量计,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496848&idx=1&sn=093e9f7f415560357fc5d0d5ee6aec2b&chksm=cfb793d5f8c01ac3230c676a77d87bd3f263fa0572bf7e96ad2ff628a290f6e5ab990d108597#rd,2024/12/23 15:40,External clip-on ultrasonic flow meter
面向喉部康复监测的柔性集成智能感知技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496830&idx=1&sn=9bd9245b2027daef3604d05f7d8e987b&chksm=cfb7933bf8c01a2d2cce86ff2e4fdd4dec3cd67d732859c4f93da9a1cdad56c33432027d9f66#rd,2024/12/19 15:46,Flexible integrated intelligent sensing technology for laryngeal rehabilitation monitoring
光学三维位姿在线监测系统 -DigiAMS,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496747&idx=1&sn=a59e287f3dde1821aa42cc4037c40082&chksm=cfb7936ef8c01a785d1c327e2da7aefe81f2c54ea1975c3d746bd4d469bbb21e7e4719e38440#rd,2024/12/17 16:44,Optical three-dimensional pose online monitoring system-DigiAMS
电子皮肤驱动的智能机器人精细触觉技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496745&idx=1&sn=084d580ff44d0a67aa58c750cb3379fd&chksm=cfb7936cf8c01a7ad9fdf316c7517c986582c4bcbb670ff85ff4997d3a31a89b6b3f81afda84#rd,2024/12/16 16:29,Electronic skin-driven smart robot fine touch technology
Ka 频段立方星伞状可展开天线,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496743&idx=1&sn=6008188bad2c04cb33fdf134d7a03166&chksm=cfb79362f8c01a740cd5b10c9c56a14a2f6250e8a7929c61b299745b014a9f7b00afb145b48a#rd,2024/12/13 17:07,Ka-band cubesat umbrella-shaped deployable antenna
集成电子快速成型的研发,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496732&idx=1&sn=d3978171ceeffb53c1c4beff95a47d50&chksm=cfb79359f8c01a4f3425ca1ccf57b6fd5c8ac2fd6f235beea0999ed8f1b6807226b989ffb4c2#rd,2024/12/12 18:03,Research and development of integrated electronic rapid prototyping
“智道”- 轨道交通自动巡检机器人系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496730&idx=1&sn=5cbb282ab134fef5ae9bd9aef60f8c91&chksm=cfb7935ff8c01a49313f9676b4009149e18305577e1cd3347bf92f25b12566f80a5126026033#rd,2024/12/11 16:17,"""Zhidao"" - rail transit automatic inspection robot system"
智能物联网感知与测试,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496728&idx=1&sn=7db47931cb332fb6c758fcdadb835283&chksm=cfb7935df8c01a4b486059090bf3be7c0dd6b3eeebee708bcabd0619dc4977d3232b756f850d#rd,2024/12/10 15:25,Intelligent IoT sensing and testing
大型环保微波烘干生产线,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496724&idx=1&sn=0c1674894d24bec80ac4a896f9ba7920&chksm=cfb79351f8c01a47636c0c51e2e3cfdbcfc3b0441cb98f01bf2d57aa9b123a341474ad660f3f#rd,2024/12/9 15:40,Large environmentally friendly microwave drying production line
高温无霍尔直流电机伺服微驱动器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496719&idx=1&sn=002f4ec1788cd55e2646b2c2bf08b50f&chksm=cfb7934af8c01a5c737ebf2ebb961f4ee1134b02be3e35903ef5d800cf97e89b94995fcad292#rd,2024/12/6 15:33,High temperature Hall-free DC motor servo micro driver
大行程超精密对准装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496715&idx=1&sn=d4ed48620203092b78166a4acd32f69b&chksm=cfb7934ef8c01a584e7e4721a3b162ab8638ee5625a13558936de24f11f542d98ed39b361cea#rd,2024/12/5 14:15,Large stroke ultra-precision alignment device
面向多源信息融合的电力电缆状态诊断技术及应用,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496711&idx=1&sn=1026ba859a3c2de38e00d169521764dc&chksm=cfb79342f8c01a54ad1f39abc524469f00a1e22a2b5e32bcf58617636a4ab0dd422e9c944f9c#rd,2024/12/4 14:40,Power cable status diagnosis technology and application for multi-source information fusion
谐波阻抗牵引自动测试系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496628&idx=1&sn=19a1d6263f3dd437c37507549f6621e6&chksm=cfb794f1f8c01de74c7f79adb10dce7d275b63368856133acb45525c97b6d4b28dbafa36dc82#rd,2024/11/26 16:03,Harmonic impedance traction automatic test system
生物特征数据安全处理系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496616&idx=1&sn=17f38824fd5790909872a37c8d6be474&chksm=cfb794edf8c01dfb93d74679e607c976450300df78f49077634b1d4ca0a04b6408fa2c1ba770#rd,2024/11/22 16:20,Biometric data security processing system
廉价航班化航天运输推进系统产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496612&idx=1&sn=1a584a49721c4ec679b671158c0c1928&chksm=cfb794e1f8c01df793a7050cc31aa1326d4bff3dd45040b0bdd1a1eec0e30090bcb6d6006dc8#rd,2024/11/20 14:29,Low-cost flight-based space transportation promotes the industrialization of systems
“极目”无人机多源影像情报处理软件,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496455&idx=1&sn=aac74dcdf6a9a65c72c175879f85e6c8&chksm=cfb79442f8c01d54c6cded542afc4ba7d444525b390c6c29917fd976bbdc3c5da41ea180cd1b#rd,2024/11/15 16:44,"""JiMu"" UAV multi-source image intelligence processing software"
朗空人工智能机器眼,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496410&idx=1&sn=4a18cc13489f6061527f4c5705a46844&chksm=cfb7959ff8c01c8929191a39e2ae808a9a89281402adc7ca1e310a8f7e2347bdfe1fef6fdcd4#rd,2024/11/14 16:35,Langkong artificial intelligence machine eye
新型气体传感器技术及装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496346&idx=1&sn=63e5dd033d77130f3e33bec884c18929&chksm=cfb795dff8c01cc9882aba95ed4acdc291074b8ed2a224011eedc0657b28436591a45ae0ef13#rd,2024/11/8 15:16,New gas sensor technology and devices
无线电能传输,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496296&idx=1&sn=0d7efe114444ab829ddb7a2927b8db67&chksm=cfb7952df8c01c3beaaba21e7b120defcacbd60cc024143e94bbda9659624e8a8275fafc3bc6#rd,2024/11/7 16:47,wireless power transfer
4D成像毫米波交通路况监测雷达系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496245&idx=1&sn=670668e8418520a071f7c79b0393ba03&chksm=cfb79570f8c01c665712bc3e20672cb1b6b970bc67867793872894eabb752fe7de997f789f5d#rd,2024/11/6 15:59,4D imaging millimeter wave traffic monitoring radar system
用于无损机械力检测的发光薄膜,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496218&idx=1&sn=0c03435ac29c7571f58d786131ee463f&chksm=cfb7955ff8c01c4949ef644479acaf7e3808adbbc8afd5d9e90b6bfa771ec57b6bcfa5016eea#rd,2024/11/5 16:38,Luminescent films for non-destructive mechanical force testing
融合SERS技术与人工智能的疾病诊断分析系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496191&idx=1&sn=eb343a188ce55f215fbe0f37d8ef319d&chksm=cfb796baf8c01fac1dd111f291b224da79e46387ef9674a3b0d60983978530fd279928fe7c83#rd,2024/11/4 16:33,Disease diagnosis and analysis system integrating SERS technology and artificial intelligence
基于眼底彩照的智能分级系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496152&idx=2&sn=4e1d230b6ae1b5250b27c2cad5a39b64&chksm=cfb7969df8c01f8baf076b41be77c1d881adb6ac81fa577cd24ef2774954af2203f6b2bb65a6#rd,2024/11/1 16:38,Intelligent grading system based on fundus color photos
肺癌亚型分类及可解释系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496112&idx=3&sn=208b4d603cc78abfd584cf1fde50cf61&chksm=cfb796f5f8c01fe320363babe07ea451c42de7512fa34e62aad255876297f6a49c2cfe32705f#rd,2024/10/30 16:16,Lung cancer subtype classification and interpretable system
单像素荧光检测仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496087&idx=2&sn=2c0d3df6a47eb1cb76bca55b9a18bb50&chksm=cfb796d2f8c01fc48b045b5e15506f900512b19397d1ac3fa82bf87a6a9727626a42a0d5d4fd#rd,2024/10/29 15:41,Single pixel fluorescence detector
CAR巨噬创新型肿瘤细胞免疫治疗项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496073&idx=1&sn=8c5340fa8fb5430ff2ae01fc74750798&chksm=cfb796ccf8c01fdacfb2211f26568648e7081746cdeca6d8797783f43bb6790f7e9feb5f0416#rd,2024/10/28 15:18,CAR macrophage innovative tumor cell immunotherapy project
创新型CAR-巨噬肿瘤细胞免疫治疗,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496052&idx=2&sn=5bd22bce7f7966f03c2abc6c4a509018&chksm=cfb79631f8c01f27d128f5e73ab460c09c4c9e15ff27286933a5e3efd99f570ce916e5137f99#rd,2024/10/24 15:59,Innovative CAR-macrophage tumor cell immunotherapy
糖尿病视网膜病变的早期筛查系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496019&idx=2&sn=7b4e61ae271c96a1579e0ac2835b5f06&chksm=cfb79616f8c01f00398271ac8aa9c8839062c1a61b827d33d9d2186e882bf6318bfdd2930362#rd,2024/10/23 14:15,Early screening system for diabetic retinopathy
便携式智能化高通量细胞分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247496004&idx=1&sn=08c5c5b2c2366045645a940d9c342831&chksm=cfb79601f8c01f174e5379b187ebaca110e34fdd8c468f988e0334ec46e828757b11856aa056#rd,2024/10/22 14:20,Portable intelligent high-throughput cell analyzer
